Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4784957728,GYC1379,NY,PAS,06/29/2022,36,4DSD,SUBAR,V,0,0,0,0,,0,0,0,,,0708P,,QN,,,WB HORACE HARDING EX,PWY @ 250TH ST,0,1180,B,T,,,,BL,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785705700,KVW3400,NY,PAS,07/01/2022,36,SUBN,PORSC,V,0,13665,0,0,,0,0,0,,,0845A,,QN,,,EB QUEENS BLVD @ 63R,D RD,0,1180,B,T,,,,BK,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785691074,KAE6998,NY,OMS,06/30/2022,36,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0645P,,QN,,,WB SEAGIRT BLVD @ B,31ST ST,0,1180,B,T,,,,GY,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785756913,KTT0526,PA,PAS,07/06/2022,36,SDN,HONDA,V,0,0,0,0,,0,0,0,,,1027A,,ST,,,EB HYLAN BLVD @ POIL,LON AVE,0,1180,B,T,,,,,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785768680,KWJ5877,NY,PAS,07/06/2022,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,1147A,,BK,,,EB LINDEN BLVD @ VER,MONT ST,0,1180,B,T,,,,BK,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785738261,JDP3220,NY,PAS,07/06/2022,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0801A,,BK,,,SB ASHLAND PL @ WILL,OUGHBY ST,0,1180,B,T,,,,GY,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785761143,HZT7632,NY,PAS,07/06/2022,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1056A,,BK,,,EB NEPTUNE AVE @ W 2,0TH ST,0,1180,B,T,,,,BK,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785853815,J28MWW,NJ,PAS,07/06/2022,36,UT,DODGE,V,0,0,0,0,,0,0,0,,,0512P,,ST,,,WB HYLAN BLVD @ LUTE,N AVE,0,1180,B,T,,,,,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786047946,KXT6514,NY,PAS,07/01/2022,36,SUBN,AUDI,V,0,0,0,0,,0,0,0,,,1034A,,QN,,,WB HILLSIDE AVE @ 25,0TH ST,0,1180,B,T,,,,GY,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786043564,KRK1858,NY,PAS,06/30/2022,36,SUBN,TESLA,V,0,0,0,0,,0,0,0,,,0251P,,ST,,,WB HYLAN BLVD @ LUTE,N AVE,0,1180,B,T,,,,GY,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786069887,HTB5668,NY,PAS,07/07/2022,36,4DSD,BMW,V,0,19895,0,0,,0,0,0,,,1127A,,QN,,,WB SEAGIRT BLVD @ CR,EST RD,0,1180,B,T,,,,WH,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786221946,KEH5714,NY,PAS,07/08/2022,36,SUBN,HONDA,V,0,12410,0,0,,0,0,0,,,0159P,,BK,,,WB PROSPECT AVE @ 3R,D AVE,0,1180,B,T,,,,WH,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786356104,KUB5839,NY,PAS,07/11/2022,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0626A,,QN,,,EB S CONDUIT AVE @ 2,45TH ST,0,1180,B,T,,,,GY,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786360820,HVE3167,NY,PAS,07/11/2022,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0658A,,BK,,,WB PARKSIDE AVE @ PA,RADE PL,0,1180,B,T,,,,RD,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786409637,JKB8866,NY,PAS,07/11/2022,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,1237P,,BX,,,SB COMMERCE AVE @ GL,EASON AVE,0,1180,B,T,,,,BK,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786412480,KSS5124,NY,PAS,07/11/2022,36,4DSD,FORD,V,0,0,0,0,,0,0,0,,,1252P,,ST,,,SB 10 ST @ CANNON BL,VD,0,1180,B,T,,,,WH,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786445769,H89PJD,NJ,PAS,07/11/2022,36,UT,HONDA,V,0,0,0,0,,0,0,0,,,0351P,,BX,,,SB RIVERDALE AVE @ W,261ST ST,0,1180,B,T,,,,,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786432623,GCL8722,NY,PAS,07/11/2022,36,SUBN,ROVER,V,0,0,0,0,,0,0,0,,,0252P,,ST,,,SB MERRYMOUNT ST @ S,HILOH ST,0,1180,B,T,,,,WH,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786941323,LWC9330,PA,PAS,07/11/2022,36,SDN,HONDA,V,0,0,0,0,,0,0,0,,,0702P,,BX,,,NB UNIVERSITY AVE @,W BURNSIDE AVE,0,1180,B,T,,,,,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4786977603,KJC2921,NY,PAS,07/14/2022,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,0907A,,QN,,,EB HILLSIDE AVE @ 25,1ST ST,0,1180,B,T,,,,WH,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787057522,KMY8537,NY,PAS,07/14/2022,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0518P,,BK,,,WB N. CONDUIT BLVD @,76TH ST,0,1180,B,T,,,,BK,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787057741,HBB3493,NY,PAS,07/14/2022,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0520P,,ST,,,WB KRAMER ST @ NORWA,Y AVE,0,1180,B,T,,,,GY,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787042476,KEF3063,NY,PAS,07/14/2022,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0343P,,QN,,,NB WOODHAVEN BLVD @,UNION TPKE,0,1180,B,T,,,,GY,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787078872,LVW7750,PA,PAS,07/14/2022,36,SDN,TOYOT,V,0,0,0,0,,0,0,0,,,0731P,,QN,,,EB LINDEN BLVD @ EME,RALD ST,0,1180,B,T,,,,,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787101407,JSE2223,NY,PAS,07/15/2022,36,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0620A,,BK,,,WB N. CONDUIT BLVD @,76TH ST,0,1180,B,T,,,,BL,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787066298,KDD1356,NY,PAS,07/14/2022,36,4DSD,BMW,V,0,0,0,0,,0,0,0,,,0614P,,QN,,,WB ASTORIA BLVD N @,42ND ST,0,1180,B,T,,,,WH,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787136859,J93NDY,NJ,PAS,07/15/2022,36,SD,AUDI,V,0,0,0,0,,0,0,0,,,1054A,,BX,,,EB E FORDHAM RD @ BA,THGATE AVE,0,1180,B,T,,,,,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787169889,HCN1118,NY,PAS,07/15/2022,36,SUBN,ME/BE,V,0,0,0,0,,0,0,0,,,0213P,,BK,,,EB LINDEN BLVD @ LOG,AN ST,0,1180,B,T,,,,BK,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787180277,HWU2777,NY,PAS,07/15/2022,36,4DSD,BMW,V,0,0,0,0,,0,0,0,,,0313P,,QN,,,WB ATLANTIC AVE @ 10,4TH ST,0,1180,B,T,,,,WH,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787272561,JNN2771,NY,PAS,07/12/2022,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0850A,,QN,,,WB N CONDUIT AVE @ S,PRINGFIELD BLVD,0,1180,B,T,,,,WH,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787384855,G36CJV,NJ,PAS,07/18/2022,36,UT,ACURA,V,0,0,0,0,,0,0,0,,,0150P,,MN,,,SB BROADWAY @ W 196T,H ST,0,1180,B,T,,,,,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787360589,KYH2383,NY,PAS,07/18/2022,36,SUBN,CHRYS,V,0,0,0,0,,0,0,0,,,1058A,,MN,,,NB WEST ST @ WARREN,ST,0,1180,B,T,,,,GY,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787361510,HME1160,NY,PAS,07/18/2022,36,SUBN,ROVER,V,0,0,0,0,,0,0,0,,,1104A,,QN,,,EB BEACH CHANNEL DR,@ B 51ST ST,0,1180,B,T,,,,BK,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787364686,JKN2087,NY,PAS,07/18/2022,36,SUBN,MERCU,V,0,0,0,0,,0,0,0,,,1129A,,ST,,,WB HYLAN BLVD @ LUTE,N AVE,0,1180,B,T,,,,BK,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787454948,KUW2345,NY,PAS,07/13/2022,36,SUBN,PORSC,V,0,0,0,0,,0,0,0,,,0909A,,BK,,,WB 78TH ST @ RIDGE B,LVD,0,1180,B,T,,,,BK,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787487243,KTH5150,NY,PAS,07/13/2022,36,SUBN,DODGE,V,0,0,0,0,,0,0,0,,,0440P,,BX,,,EB ADEE AVE @ PEARSA,LL AVE,0,1180,B,T,,,,GY,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787572520,KTG5712,NY,PAS,07/19/2022,36,SUBN,VOLVO,V,0,0,0,0,,0,0,0,,,1245P,,QN,,,NB RUST ST @ 58TH AV,E,0,1180,B,T,,,,WH,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787665789,JHK1909,NY,PAS,07/14/2022,36,SUBN,BMW,V,0,0,0,0,,0,0,0,,,0647P,,QN,,,NB CROSS BAY BLVD @,159TH AVE,0,1180,B,T,,,,WH,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787872102,KVT7864,NY,PAS,07/15/2022,36,SUBN,ALFAR,V,0,0,0,0,,0,0,0,,,0654P,,QN,,,NB RUST ST @ 58TH AV,E,0,1180,B,T,,,,WH,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787949664,GKX7782,NY,PAS,07/21/2022,36,SUBN,BMW,V,0,0,0,0,,0,0,0,,,0814A,,QN,,,EB HILLSIDE AVE @ 19,2ND ST,0,1180,B,T,,,,WH,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4787991218,KGM5926,NY,PAS,07/21/2022,36,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,1255P,,BK,,,WB 65TH ST @ 16TH AV,E,0,1180,B,T,,,,BK,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4788198447,HGL2875,NY,PAS,07/22/2022,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0218P,,QN,,,EB JAMAICA AVE @ 193,RD ST,0,1180,B,T,,,,GY,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
5121288943,HVY7757,NY,PAS,06/06/2022,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0925A,,BK,,,CLASSON AVE (N/B) @,FLUSHING AVE,0,1111,D,T,,,,WH,,2020,,0,,FAILURE TO STOP AT RED LIGHT,,,
4788134640,H58KZM,NJ,PAS,07/19/2022,36,UT,GMC,V,0,0,0,0,,0,0,0,,,0620A,,MN,,,SB WEST ST @ WARREN,ST,0,1180,B,T,,,,,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
5121459592,KEU6130,NY,PAS,06/14/2022,7,SUBN,ACURA,V,0,0,0,0,,0,0,0,,,0532P,,BK,,,OCEAN PKWY (N/B) @ A,VE W,0,1111,D,T,,,,GY,,2018,,0,,FAILURE TO STOP AT RED LIGHT,,,
5121506041,JDY4148,NY,PAS,06/16/2022,7,2DSD,ME/BE,V,0,0,0,0,,0,0,0,,,0705P,,QN,,,NORTHERN BLVD (E/B),@ MARATHON PKWY,0,1111,D,T,,,,BL,,2019,,0,,FAILURE TO STOP AT RED LIGHT,,,
5121810155,HBE5712,NY,PAS,06/29/2022,7,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0430P,,QN,,,QUEENS BLVD (E/B) @,ASCAN AVE,0,1111,D,T,,,,WH,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
8569319484,KFV5127,NY,PAS,06/28/2022,37,SUBN,FORD,T,18290,0,0,20221001,103,103,103,365838,T402,Y,0138P,0131P,Q,I,S,91st Ave,30ft E/of 146th St,0,408,H1,,YYYYYY,0900A,0700P,BL,,2012,419788,0,12,37-Expired Parking Meter,,,
8571397028,KXL7231,NY,PAS,07/16/2022,20,SUBN,GMC,T,76930,24930,12590,88888888,60,60,60,365919,T302,S,0153P,,K,F,120,Shore Blvd,,0,408,D,,YYYYYYY,,,SILVE,,0,,0,N,20A-No Parking (Non-COM),,,
8583598873,HRR7191,NY,PAS,07/14/2022,20,SUBN,GMC,T,10410,19490,19510,20230613,25,25,25,343920,T103,BB,0639A,,NY,O,2064,5th Ave,,0,408,D,,YYYYYYY,,,BK,,2021,,0,I,20A-No Parking (Non-COM),,,
8582631443,KWW4343,NY,PAS,07/16/2022,38,4DSD,ME/BE,T,5580,10930,10980,20240421,68,68,68,371767,T302,H,1123A,,K,F,8701,5th Ave,,0,408,H1,,YYYYYY,0800A,0700P,BK,,0,315224,0,32,38-Failure to Dsplay Meter Rec,,,
8798735937,HGF7046,NY,PAS,06/29/2022,74,4DSD,LEXUS,T,23290,6590,6790,20220710,109,109,109,365925,T401,N,1123A,,Q,F,21-18,150th St,,0,408,J2,,YYYYYYY,,,GY,,2016,,0,A,74-Missing Display Plate,,,
8816895494,KBT9648,NY,OMS,07/10/2022,64,4DSD,CHEVR,T,17870,10110,10010,20230930,17,17,17,347687,MTTF,C,1251P,,NY,F,338,E 44th St,,0,408,C8,,YYYYYYY,,,GY,,2022,,0,09,"64-No STD Ex Con/DPL, D/S Dec",,,
8750881188,HXR7747,NY,PAS,07/19/2022,21,4DSD,TOYOT,T,60440,55430,58330,20220429,90,90,90,361838,T301,I,0944A,,K,F,110,Meserole St,,0,408,D1,,Y  Y,0930A,1100A,GY,,0,,0,15,21-No Parking (street clean),,,
8584132983,GXF9208,NY,PAS,07/15/2022,71,SUBN,ME/BE,T,16290,0,0,20230312,115,115,115,361893,T401,S,1052A,,Q,I,E,78th St,10ft N/of Roosevelt,0,408,J6,,YYYYYYY,,,BK,,2015,,0,23,71A-Insp Sticker Expired (NYS),,,
8755999761,GCH3624,TX,PAS,06/30/2022,21,SUBN,PORSC,T,12790,0,0,20231088,112,112,112,357098,T402,A,0849A,,Q,I,W,62nd Ave,30ft S/of Queens Blv,0,408,D1,,Y,0830A,1000A,GREY,,0,,0,03,21-No Parking (street clean),,,
8824839459,HJK9832,NY,PAS,07/18/2022,21,4DSD,ACURA,T,18630,40930,40230,20240621,70,70,70,367341,T302,Y,0914A,,K,F,2732,Bedford Ave,,0,408,D1,,Y  Y,0830A,1000A,WH,,2021,,0,36,21-No Parking (street clean),,,
8632840370,KLE6172,NY,PAS,07/16/2022,38,SUBN,ME/BE,T,29320,23920,73720,20230817,52,52,52,373108,T201,K,1212P,,BX,F,376,E Gun Hill Rd,,0,408,H1,,YYYYYY,0900A,0400P,WH,,2017,205989,0,10,38-Failure to Dsplay Meter Rec,,,
8584520314,JHN3528,NY,PAS,07/08/2022,71,4DSD,TOYOT,T,21340,53790,19990,20230605,106,106,106,348578,T402,A,1000A,,Q,O,104-11,120th St,,0,408,J6,,YYYYYYY,,,TN,,2007,,0,39,71A-Insp Sticker Expired (NYS),,,
8846048726,KFS1415,NY,PAS,06/28/2022,74,SUBN,TOYOT,T,0,0,0,20221019,43,43,43,367874,T201,N,0551A,,BX,I,W,Bronx River Ave,30ft N/of Westcheste,0,408,J2,,YYYYYYY,,,WH,,2015,,0,43,74A-Improperly Displayed Plate,,,
8846783487,HJL7232,NY,PAS,06/30/2022,37,SUBN,KIA,T,16480,10880,19030,20220817,62,62,62,359630,T302,I,0134P,0114P,K,O,8,Bay 22nd St,,0,408,H1,,YYYYYY,0900A,0700P,GY,,2014,312935,0,40,37-Expired Parking Meter,,,
8854686062,KCA6705,PA,PAS,06/28/2022,14,SUBN,HONDA,T,18310,10110,10010,20228888,19,19,19,371187,T103,Q,0148P,,NY,F,333,E 66th St,,0,408,C,,YYYYY,0800A,0700P,BLACK,,0,,0,01,14-No Standing,,,
8858134620,HPW4296,NY,PAS,07/14/2022,21,SUBN,DODGE,T,17190,35780,23140,20230604,107,107,107,330142,T402,L,0845A,,Q,O,144-53,85th Ave,,0,408,D1,,Y,0830A,1000A,GY,,2001,,0,01,21-No Parking (street clean),,,
8873566844,HDW6702,NY,PAS,07/15/2022,21,SUBN,TOYOT,T,64230,21780,21630,20231222,60,60,60,370312,T302,Q,0921A,,K,F,360,Neptune Ave,,0,408,D1,,Y  Y,0900A,1030A,WH,,2019,,0,41,21-No Parking (street clean),,,
8851983288,M60PRP,NJ,PAS,07/06/2022,31,4DSD,BMW,T,34710,10810,10910,88888888,18,18,18,368626,MTTF,D,0353P,,NY,F,321,W 47th St,,0,408,L3,,YYYYY,0700A,0600P,GREY,,0,,0,03,31-No Stand (Com. Mtr. Zone),,,
8871094293,HKJ7926,NY,PAS,06/28/2022,38,PICK,GMC,T,10210,18750,18770,20220930,19,19,19,357090,T103,EE,1026A,,NY,F,1572,3rd Ave,,0,408,H1,,YYYYYY,0800A,0700P,BL,,2016,111863,0,36,38-Failure to Dsplay Meter Rec,,,
8906997632,LYT127,MS,PAS,07/07/2022,50,SUBN,CHRYS,T,0,0,0,20228888,73,73,73,353156,T302,M,0657A,,K,I,W,Chestnut St,0ft S/of Etna St,0,408,E5,,YYYYYYY,,,GREY,,0,,0,75,50-Crosswalk,,,
8905617499,KVJ8193,NY,PAS,07/07/2022,75,SUBN,ROVER,T,33920,12550,56020,20220623,50,50,50,357753,T201,G,0625P,,BX,F,3489,Fort Independence St,,0,408,J5,,YYYYYYY,,,GREEN,,2021,,0,50,75-No Match-Plate/Reg. Sticker,,,
8901917312,KNS6120,NY,PAS,07/07/2022,71,SUBN,TESLA,T,6730,5780,5880,20230607,78,78,78,355667,T302,C,1001A,,K,F,369,16th St,,0,408,J6,,YYYYYYY,,,WH,,2021,,0,58,71A-Insp Sticker Expired (NYS),,,
8932413691,JGJ6261,NY,PAS,07/14/2022,14,SUBN,VOLVO,T,34390,10910,97480,20230425,10,10,10,345551,T501,B,1124A,,NY,F,435,W 31st St,,0,408,C,,YYYYYYY,,,BK,,2021,,0,01,14-No Standing,,,
8933882108,JMR3062,NY,PAS,07/08/2022,21,SUBN,TOYOT,T,54580,54790,45990,20231107,108,108,108,369587,T401,D,0820A,,Q,O,42-35,Main St,,0,408,D1,,YYYYYY,0800A,0830A,GY,,2015,,0,50-A,21-No Parking (street clean),,,
8917022250,KGE9704,NY,PAS,07/18/2022,19,4DSD,INFIN,T,19340,68090,18840,20221019,102,102,102,365342,T402,F,0204P,,Q,F,95-07,101st Ave,,0,408,C3,,YYYYYYY,,,GY,,2015,,0,44,19-No Stand (bus stop),,,
8933269198,KVC8417,NY,PAS,07/07/2022,21,4DSD,NISSA,T,36230,40230,44430,20240531,67,67,67,362170,T302,A,1119A,,K,O,615,E 32nd St,,0,408,D1,,Y  YY,1100A,1230A,TN,,2008,,0,16,21-No Parking (street clean),,,
8933833020,HZU2731,NY,PAS,06/28/2022,70,4DSD,FORD,T,67620,64220,45120,20220621,42,42,42,363549,T201,C,0305P,,BX,O,727,Taylor Ave,,0,408,J3,,YYYYYYY,,,GL,,2008,,0,43,70A-Reg. Sticker Expired (NYS),,,
8957735630,KEW7630,NY,PAS,07/15/2022,21,SUBN,TOYOT,T,85730,0,0,20221206,79,79,79,355311,T301,C,0843A,,K,I,W,Tompkins Ave,40ft S/of Vernon Ave,0,408,D1,,Y  Y,0800A,0930A,GY,,2011,,0,U,21-No Parking (street clean),,,
8988565812,KKR1845,NY,PAS,07/08/2022,21,4DSD,HYUND,T,41930,93230,31530,20230324,79,79,79,351261,T301,X,0901A,,K,F,227,Franklin Ave,,0,408,D1,,Y  Y,0830A,1000A,BL,,2017,,0,X,21-No Parking (street clean),,,
8960245665,JCC4LIFE,NY,SRF,07/16/2022,71,4DSD,BMW,T,42420,26070,26130,20221130,42,42,42,346373,T201,N,1046A,,BX,F,498,Jackson Ave,,0,408,J6,,YYYYYYY,,,BK,,2008,,0,42,71A-Insp Sticker Expired (NYS),,,
8957649920,HGC5199,NY,PAS,06/28/2022,38,4DSD,INFIN,T,8320,22920,40320,20220916,49,49,49,368502,T201,Q,0200P,,BX,F,736,Allerton Ave,,0,408,H1,,YYYYYY,0800A,0700P,GY,,2012,212668,0,47,38-Failure to Dsplay Meter Rec,,,
9000112850,JRC6624,NY,PAS,07/15/2022,20,SUBN,TOYOT,T,53790,0,0,20240223,106,106,106,365873,T402,N,1001A,,Q,I,S,Liberty Ave,120ft W/of 84th St,0,408,D,,YYYYYY,0800A,0600P,GR,,2009,,0,J,20A-No Parking (Non-COM),,,
8995678963,KYC5965,NY,OMS,07/11/2022,37,SUBN,FORD,T,0,40404,40404,20220930,114,114,114,372257,T803,AA,0817P,0805P,Q,I,,Ditmars Lot #1,,0,408,H1,,YYYYYY,0700A,1000P,WH,,2022,469229,0,E,37-Expired Parking Meter,,,
8995683399,KDW6518,NY,PAS,07/06/2022,10,PICK,RAM,T,34010,10510,10610,20221012,6,6,6,373104,T102,I,0837A,,NY,F,167,W 12th St,,0,408,B,,YYYYYYY,,,BK,,2021,,0,20,10-No Stopping,,,
